"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2022","EQ","718.80","724.60","703.00","710.30","708.00","706.70","709.72","901.00","638.10","75,33,817","5,34,69,08,729.25","85,752"
"02-Mar-2022","EQ","702.95","717.90","697.60","707.50","710.05","710.30","709.26","901.00","638.10","44,48,558","3,15,51,78,708.45","68,822"
"28-Feb-2022","EQ","690.00","709.65","684.50","695.15","707.20","707.50","700.10","901.00","638.10","42,88,186","3,00,21,58,746.70","78,628"
"25-Feb-2022","EQ","674.50","703.00","670.25","654.85","697.50","695.15","692.34","901.00","638.10","57,38,223","3,97,28,28,343.00","1,08,630"
"24-Feb-2022","EQ","682.00","688.00","651.95","706.70","656.80","654.85","668.81","901.00","638.10","95,47,717","6,38,56,11,547.40","1,47,255"
"23-Feb-2022","EQ","711.00","719.40","705.00","705.55","707.00","706.70","712.18","901.00","638.10","29,78,284","2,12,10,67,305.85","60,389"
"22-Feb-2022","EQ","698.00","711.10","685.00","711.10","711.00","705.55","696.86","901.00","638.10","61,12,926","4,25,98,34,054.05","1,01,897"
"21-Feb-2022","EQ","722.70","726.75","709.55","727.50","712.00","711.10","716.56","901.00","638.10","28,05,791","2,01,05,11,420.85","51,846"
"18-Feb-2022","EQ","729.90","739.20","725.50","734.20","728.45","727.50","732.49","901.00","610.80","21,51,557","1,57,59,99,343.90","41,060"
"17-Feb-2022","EQ","741.10","745.00","731.35","740.75","733.00","734.20","738.47","901.00","610.80","34,07,347","2,51,62,11,140.90","56,595"
"16-Feb-2022","EQ","724.90","750.85","722.10","720.60","737.25","740.75","741.33","901.00","610.80","93,82,605","6,95,55,95,852.40","1,28,156"
"15-Feb-2022","EQ","699.70","722.45","690.00","695.75","719.05","720.60","707.62","901.00","610.80","33,19,096","2,34,86,51,529.60","66,030"
"14-Feb-2022","EQ","714.80","714.80","691.00","723.70","692.50","695.75","703.02","901.00","610.80","62,19,506","4,37,24,67,968.80","1,00,965"
"11-Feb-2022","EQ","727.90","733.90","719.45","731.05","722.10","723.70","725.80","901.00","550.50","36,21,116","2,62,81,94,138.95","60,339"
