"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2023","EQ","4,416.75","4,445.00","4,393.90","4,402.20","4,415.00","4,408.30","4,418.76","5,016.55","3,361.55","1,68,868","74,61,87,415.70","23,566"
"02-Mar-2023","EQ","4,429.00","4,450.20","4,381.35","4,413.80","4,388.65","4,402.20","4,419.37","5,016.55","3,361.55","3,13,250","1,38,43,68,634.50","38,246"
"01-Mar-2023","EQ","4,401.65","4,446.00","4,337.25","4,401.65","4,405.00","4,413.80","4,407.24","5,016.55","3,361.55","2,87,008","1,26,49,13,309.05","39,484"
"28-Feb-2023","EQ","4,449.00","4,473.40","4,361.30","4,439.75","4,383.15","4,401.65","4,410.16","5,016.55","3,361.55","3,12,308","1,37,73,29,116.20","28,708"
"27-Feb-2023","EQ","4,485.00","4,494.75","4,415.05","4,470.65","4,441.85","4,439.75","4,450.53","5,016.55","3,361.55","2,15,703","95,99,92,655.55","20,546"
"24-Feb-2023","EQ","4,455.05","4,486.00","4,396.90","4,448.05","4,486.00","4,470.65","4,448.62","5,016.55","3,361.55","3,58,946","1,59,68,12,870.05","33,745"
"23-Feb-2023","EQ","4,471.35","4,518.30","4,401.00","4,449.10","4,450.00","4,448.05","4,460.62","5,016.55","3,361.55","4,43,522","1,97,83,84,555.75","43,410"
"22-Feb-2023","EQ","4,505.00","4,535.95","4,440.00","4,502.05","4,440.00","4,449.10","4,476.52","5,016.55","3,361.55","3,33,978","1,49,50,57,919.50","38,543"
"21-Feb-2023","EQ","4,611.00","4,640.00","4,491.00","4,610.60","4,503.80","4,502.05","4,542.60","5,016.55","3,361.55","4,90,637","2,22,87,65,317.85","40,291"
"20-Feb-2023","EQ","4,593.00","4,649.95","4,575.35","4,614.70","4,604.00","4,610.60","4,614.39","5,016.55","3,361.55","2,32,327","1,07,20,46,311.25","31,858"
"17-Feb-2023","EQ","4,640.15","4,668.95","4,576.00","4,643.15","4,615.20","4,614.70","4,611.66","5,016.55","3,361.55","4,08,098","1,88,20,07,419.50","44,342"
"16-Feb-2023","EQ","4,509.95","4,668.00","4,500.15","4,487.90","4,640.15","4,643.15","4,621.13","5,016.55","3,361.55","14,19,679","6,56,05,15,901.85","98,834"
"15-Feb-2023","EQ","4,170.00","4,514.00","4,170.00","4,268.85","4,482.00","4,487.90","4,392.38","5,016.55","3,361.55","27,24,361","11,96,64,16,929.10","1,81,038"
"14-Feb-2023","EQ","4,380.45","4,380.45","4,251.05","4,358.65","4,252.00","4,268.85","4,300.61","5,016.55","3,361.55","3,39,582","1,46,04,09,230.20","36,527"
"13-Feb-2023","EQ","4,430.40","4,439.60","4,328.00","4,416.25","4,335.90","4,358.65","4,391.25","5,016.55","3,361.55","2,72,935","1,19,85,26,460.50","25,434"
"10-Feb-2023","EQ","4,385.40","4,425.30","4,350.25","4,389.30","4,408.00","4,416.25","4,397.00","5,016.55","3,361.55","3,59,807","1,58,20,71,801.60","29,658"
"09-Feb-2023","EQ","4,347.35","4,404.45","4,325.00","4,391.25","4,379.15","4,389.30","4,378.53","5,016.55","3,361.55","2,84,239","1,24,45,48,528.40","25,538"
"08-Feb-2023","EQ","4,320.00","4,404.30","4,302.55","4,315.60","4,393.75","4,391.25","4,373.35","5,016.55","3,361.55","2,50,175","1,09,41,02,295.70","28,964"
"07-Feb-2023","EQ","4,305.00","4,360.00","4,271.35","4,320.70","4,301.40","4,315.60","4,321.48","5,016.55","3,361.55","3,19,090","1,37,89,42,256.05","28,929"
"06-Feb-2023","EQ","4,211.00","4,335.65","4,189.65","4,251.60","4,325.00","4,320.70","4,267.44","5,016.55","3,361.55","2,57,669","1,09,95,87,259.25","34,492"
"03-Feb-2023","EQ","4,245.00","4,259.80","4,158.00","4,231.50","4,239.00","4,251.60","4,197.42","5,016.55","3,361.55","4,13,966","1,73,75,88,315.05","28,767"
"02-Feb-2023","EQ","4,262.00","4,262.00","4,170.00","4,262.65","4,240.00","4,231.50","4,221.52","5,016.55","3,361.55","4,79,256","2,02,31,87,423.25","39,475"
"01-Feb-2023","EQ","4,275.00","4,352.00","4,211.50","4,255.90","4,270.00","4,262.65","4,290.95","5,016.55","3,361.55","3,21,331","1,37,88,15,985.00","33,812"
"31-Jan-2023","EQ","4,239.50","4,303.75","4,127.05","4,237.70","4,270.00","4,255.90","4,230.04","5,016.55","3,361.55","6,71,038","2,83,85,16,253.00","79,008"
"30-Jan-2023","EQ","4,236.50","4,260.00","4,123.00","4,244.15","4,231.05","4,237.70","4,202.40","5,016.55","3,361.55","6,23,069","2,61,83,85,606.15","48,894"
"27-Jan-2023","EQ","4,228.00","4,285.35","4,192.10","4,224.35","4,265.00","4,244.15","4,233.11","5,016.55","3,361.55","4,21,866","1,78,58,05,055.50","45,654"
"25-Jan-2023","EQ","4,314.95","4,318.00","4,194.00","4,305.00","4,232.00","4,224.35","4,232.68","5,016.55","3,361.55","4,23,714","1,79,34,47,841.80","32,234"
"24-Jan-2023","EQ","4,349.95","4,349.95","4,290.80","4,335.45","4,305.00","4,305.00","4,320.45","5,016.55","3,361.55","1,78,860","77,27,56,418.45","21,576"
"23-Jan-2023","EQ","4,294.40","4,353.50","4,286.90","4,285.25","4,347.00","4,335.45","4,329.90","5,016.55","3,361.55","1,61,350","69,86,30,029.30","21,324"
"20-Jan-2023","EQ","4,302.00","4,322.45","4,264.20","4,318.15","4,275.00","4,285.25","4,287.23","5,016.55","3,361.55","2,42,706","1,04,05,36,998.95","25,431"
"19-Jan-2023","EQ","4,339.80","4,339.80","4,285.65","4,339.80","4,307.25","4,318.15","4,308.33","5,016.55","3,361.55","1,62,244","69,90,01,279.50","20,208"
"18-Jan-2023","EQ","4,337.00","4,352.00","4,305.00","4,322.85","4,337.00","4,339.80","4,326.24","5,016.55","3,361.55","3,31,806","1,43,54,71,308.90","24,742"
