"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2023","EQ","3,720.05","3,748.00","3,697.45","3,715.25","3,734.40","3,732.00","3,723.01","4,131.75","3,125.00","2,81,411","1,04,76,96,191.00","33,081"
"02-Mar-2023","EQ","3,731.05","3,757.35","3,680.00","3,731.65","3,700.00","3,715.25","3,722.74","4,131.75","3,125.00","2,76,614","1,02,97,61,958.55","26,917"
"01-Mar-2023","EQ","3,670.00","3,748.35","3,636.90","3,661.20","3,707.10","3,731.65","3,713.07","4,131.75","3,125.00","4,32,887","1,60,73,37,914.30","40,994"
"28-Feb-2023","EQ","3,647.00","3,743.00","3,625.60","3,639.85","3,648.75","3,661.20","3,677.58","4,131.75","3,125.00","7,23,245","2,65,97,89,574.60","58,763"
"27-Feb-2023","EQ","3,799.95","3,799.95","3,626.05","3,849.95","3,644.95","3,639.85","3,678.01","4,131.75","3,125.00","8,22,866","3,02,65,11,419.40","60,081"
"24-Feb-2023","EQ","3,833.55","3,874.90","3,833.55","3,831.90","3,834.20","3,849.95","3,855.00","4,131.75","3,125.00","2,63,732","1,01,66,86,830.35","21,291"
"23-Feb-2023","EQ","3,847.50","3,872.75","3,815.20","3,840.70","3,833.55","3,831.90","3,836.23","4,131.75","3,125.00","2,99,446","1,14,87,43,825.80","26,808"
"22-Feb-2023","EQ","3,837.10","3,890.25","3,814.95","3,837.10","3,847.00","3,840.70","3,857.73","4,131.75","3,125.00","4,77,992","1,84,39,65,829.00","42,076"
"21-Feb-2023","EQ","3,927.00","3,927.00","3,824.70","3,903.80","3,837.00","3,837.10","3,856.42","4,131.75","3,125.00","1,77,954","68,62,65,951.75","25,427"
"20-Feb-2023","EQ","3,894.95","3,934.95","3,893.35","3,894.30","3,899.50","3,903.80","3,916.48","4,131.75","3,125.00","1,69,828","66,51,27,814.50","17,077"
"17-Feb-2023","EQ","3,890.00","3,920.00","3,872.00","3,906.60","3,890.00","3,894.30","3,901.24","4,131.75","3,125.00","1,67,844","65,47,98,961.30","19,524"
"16-Feb-2023","EQ","3,910.00","3,930.95","3,892.00","3,905.40","3,907.00","3,906.60","3,908.11","4,131.75","3,125.00","1,66,844","65,20,44,737.30","19,930"
"15-Feb-2023","EQ","3,866.60","3,911.90","3,850.00","3,876.10","3,900.00","3,905.40","3,883.50","4,131.75","3,125.00","2,14,072","83,13,47,933.15","25,420"
"14-Feb-2023","EQ","3,894.95","3,906.95","3,862.55","3,883.50","3,876.00","3,876.10","3,882.63","4,131.75","3,125.00","2,51,160","97,51,60,362.95","33,753"
"13-Feb-2023","EQ","3,850.85","3,912.60","3,824.00","3,831.65","3,881.30","3,883.50","3,884.22","4,131.75","3,125.00","3,72,862","1,44,82,77,804.30","34,955"
"10-Feb-2023","EQ","3,845.00","3,848.95","3,800.10","3,845.75","3,827.90","3,831.65","3,827.74","4,131.75","3,125.00","1,70,034","65,08,45,198.50","21,346"
"09-Feb-2023","EQ","3,879.90","3,890.50","3,832.25","3,880.30","3,840.00","3,845.75","3,853.54","4,131.75","3,125.00","2,49,061","95,97,65,834.15","28,645"
"08-Feb-2023","EQ","3,898.85","3,898.85","3,835.50","3,879.45","3,880.00","3,880.30","3,874.32","4,131.75","3,125.00","3,09,039","1,19,73,15,672.55","29,261"
