"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2022","EQ","925.00","945.00","919.55","923.10","934.30","934.90","936.40","1,005.00","738.10","26,22,469","2,45,56,86,571.95","79,014"
"02-Mar-2022","EQ","911.10","931.30","911.10","925.05","923.20","923.10","922.05","1,005.00","738.10","32,76,260","3,02,08,63,620.75","72,965"
"28-Feb-2022","EQ","920.05","929.95","911.00","923.65","926.70","925.05","923.83","1,005.00","738.10","15,34,018","1,41,71,74,052.25","63,283"
"25-Feb-2022","EQ","903.00","926.70","890.95","895.80","926.00","923.65","911.02","1,005.00","738.10","28,25,642","2,57,42,19,777.65","73,260"
"24-Feb-2022","EQ","899.80","908.75","888.15","914.90","895.00","895.80","897.05","1,005.00","738.10","20,03,438","1,79,71,91,538.30","71,323"
"23-Feb-2022","EQ","915.25","921.30","910.25","913.40","915.25","914.90","916.18","1,005.00","738.10","13,99,309","1,28,20,23,551.10","47,176"
"22-Feb-2022","EQ","893.20","918.00","890.75","907.25","912.45","913.40","904.87","1,005.00","738.10","18,84,736","1,70,54,41,412.75","76,092"
"21-Feb-2022","EQ","903.10","913.70","896.00","909.10","905.00","907.25","907.01","1,005.00","738.10","18,60,041","1,68,70,81,089.70","54,653"
"18-Feb-2022","EQ","927.50","929.85","903.05","928.20","909.05","909.10","909.41","1,005.00","738.10","36,43,338","3,31,32,77,878.30","1,07,668"
"17-Feb-2022","EQ","934.80","955.50","925.70","933.10","927.90","928.20","940.87","1,005.00","738.10","28,43,010","2,67,49,11,817.35","65,672"
"16-Feb-2022","EQ","938.00","940.25","920.10","921.85","932.00","933.10","928.05","1,005.00","738.10","24,80,569","2,30,20,97,695.40","62,192"
"15-Feb-2022","EQ","916.55","938.80","912.30","954.90","920.90","921.85","923.21","1,005.00","738.10","83,04,774","7,66,70,21,468.50","1,25,550"
"14-Feb-2022","EQ","947.00","962.90","938.85","958.50","955.00","954.90","955.02","1,005.00","738.10","23,46,622","2,24,10,63,962.20","73,322"
"11-Feb-2022","EQ","956.50","976.05","953.00","975.05","956.50","958.50","958.86","1,005.00","738.10","12,92,417","1,23,92,48,396.30","53,838"
"10-Feb-2022","EQ","969.00","977.35","963.00","968.25","973.45","975.05","973.06","1,005.00","738.10","20,44,733","1,98,96,47,801.00","93,541"
"09-Feb-2022","EQ","954.80","972.50","950.25","948.05","967.00","968.25","965.24","1,005.00","738.10","25,13,281","2,42,59,26,231.65","85,538"
"08-Feb-2022","EQ","933.30","951.00","931.10","933.30","950.20","948.05","943.56","1,005.00","738.10","18,12,035","1,70,97,61,919.50","73,666"
"07-Feb-2022","EQ","946.20","947.00","927.05","946.10","933.70","933.30","934.38","1,005.00","738.10","9,49,273","88,69,85,612.55","48,087"
"04-Feb-2022","EQ","951.25","957.75","940.00","952.75","946.45","946.10","946.44","1,005.00","738.10","14,28,601","1,35,20,92,015.30","49,334"
"03-Feb-2022","EQ","953.00","957.00","944.55","951.80","950.20","952.75","952.03","1,005.00","738.10","11,16,446","1,06,28,95,506.50","76,183"
"02-Feb-2022","EQ","945.50","958.50","944.75","946.40","950.10","951.80","951.29","1,005.00","738.10","17,35,750","1,65,12,07,781.80","64,293"
"01-Feb-2022","EQ","948.00","959.00","938.80","945.00","943.00","946.40","950.51","1,005.00","738.10","20,33,319","1,93,26,80,586.20","84,016"
"31-Jan-2022","EQ","939.00","950.00","930.65","932.25","945.00","945.00","945.40","1,005.00","738.10","20,08,278","1,89,86,35,867.45","65,456"
"28-Jan-2022","EQ","926.55","942.00","917.45","927.60","930.60","932.25","935.94","1,005.00","738.10","24,28,175","2,27,26,25,991.90","77,761"
