"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2021","EQ","3,560.00","3,573.20","3,500.55","3,516.90","3,560.10","3,565.15","3,542.37","3,914.95","1,626.00","7,25,617","2,57,04,00,335.65","36,533"
"02-Mar-2021","EQ","3,470.00","3,521.95","3,455.50","3,461.55","3,518.25","3,516.90","3,487.18","3,914.95","1,626.00","7,24,413","2,52,61,60,633.25","52,824"
"01-Mar-2021","EQ","3,396.70","3,485.00","3,381.35","3,363.10","3,475.00","3,461.55","3,429.54","3,914.95","1,626.00","6,60,836","2,26,63,60,848.05","58,564"
"26-Feb-2021","EQ","3,419.50","3,485.90","3,326.40","3,440.05","3,364.00","3,363.10","3,397.50","3,914.95","1,626.00","17,01,176","5,77,97,43,009.75","1,03,872"
"25-Feb-2021","EQ","3,477.25","3,513.50","3,432.00","3,480.05","3,436.40","3,440.05","3,468.70","3,914.95","1,626.00","8,76,984","3,04,19,96,565.25","66,357"
"24-Feb-2021","EQ","3,496.90","3,509.80","3,412.40","3,448.25","3,481.00","3,480.05","3,473.09","3,914.95","1,626.00","4,09,153","1,42,10,23,191.95","34,143"
"23-Feb-2021","EQ","3,485.00","3,519.00","3,440.85","3,496.65","3,445.00","3,448.25","3,467.84","3,914.95","1,626.00","5,11,326","1,77,31,98,409.95","47,559"
"22-Feb-2021","EQ","3,510.00","3,563.00","3,475.00","3,523.20","3,479.25","3,496.65","3,519.26","3,914.95","1,626.00","8,46,786","2,98,00,56,839.35","70,420"
"19-Feb-2021","EQ","3,588.00","3,605.00","3,490.00","3,587.65","3,534.00","3,523.20","3,544.81","3,914.95","1,626.00","7,45,416","2,64,23,58,577.25","51,637"
"18-Feb-2021","EQ","3,596.00","3,648.00","3,573.00","3,615.25","3,591.00","3,587.65","3,609.74","3,914.95","1,626.00","8,84,937","3,19,43,90,030.40","54,963"
"17-Feb-2021","EQ","3,672.00","3,675.00","3,590.00","3,686.50","3,595.00","3,615.25","3,634.73","3,914.95","1,626.00","6,91,346","2,51,28,58,207.00","47,824"
"16-Feb-2021","EQ","3,711.05","3,719.45","3,666.00","3,711.05","3,675.00","3,686.50","3,690.73","3,914.95","1,626.00","3,92,393","1,44,82,15,453.95","29,664"
"15-Feb-2021","EQ","3,721.00","3,749.75","3,702.00","3,719.40","3,707.60","3,711.05","3,724.06","3,914.95","1,626.00","4,26,787","1,58,93,79,319.25","32,349"
"12-Feb-2021","EQ","3,753.85","3,753.85","3,695.15","3,753.85","3,717.85","3,719.40","3,724.49","3,914.95","1,626.00","5,61,226","2,09,02,80,860.85","36,639"
"11-Feb-2021","EQ","3,719.60","3,764.70","3,712.00","3,750.35","3,760.00","3,753.85","3,736.16","3,914.95","1,626.00","4,22,563","1,57,87,64,830.90","34,905"
"10-Feb-2021","EQ","3,740.00","3,760.00","3,675.40","3,722.75","3,745.00","3,750.35","3,723.31","3,914.95","1,626.00","9,53,446","3,54,99,78,796.80","55,676"
"09-Feb-2021","EQ","3,783.05","3,841.25","3,705.05","3,781.85","3,732.50","3,722.75","3,786.09","3,914.95","1,626.00","13,19,497","4,99,57,29,261.65","76,571"
"08-Feb-2021","EQ","3,799.00","3,888.00","3,650.00","3,822.45","3,783.05","3,781.85","3,790.16","3,914.95","1,626.00","27,44,564","10,40,23,35,348.80","1,54,000"
"05-Feb-2021","EQ","3,699.00","3,859.80","3,665.05","3,678.90","3,853.00","3,822.45","3,768.75","3,914.95","1,626.00","21,52,555","8,11,24,52,208.65","1,27,248"
"04-Feb-2021","EQ","3,713.95","3,724.75","3,651.00","3,680.25","3,671.80","3,678.90","3,676.32","3,914.95","1,626.00","9,08,879","3,34,13,30,393.15","62,757"
"03-Feb-2021","EQ","3,590.00","3,716.90","3,561.25","3,548.60","3,714.00","3,680.25","3,660.80","3,914.95","1,626.00","16,93,164","6,19,83,30,596.75","1,08,408"
"02-Feb-2021","EQ","3,540.00","3,567.70","3,446.10","3,463.60","3,543.05","3,548.60","3,511.81","3,914.95","1,626.00","16,24,774","5,70,59,00,867.85","1,12,747"
"01-Feb-2021","EQ","3,418.00","3,520.00","3,311.40","3,369.85","3,516.00","3,463.60","3,389.91","3,914.95","1,626.00","9,98,291","3,38,41,11,804.25","94,329"
