"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2021","EQ","350.70","361.30","350.50","345.25","358.75","359.35","357.05","361.30","84.90","2,01,04,887","7,17,84,46,850.20","1,68,134"
"02-Mar-2021","EQ","344.25","349.30","338.75","344.10","344.70","345.25","343.02","354.60","84.90","1,28,78,208","4,41,74,84,707.80","1,16,292"
"01-Mar-2021","EQ","342.00","347.00","334.60","340.25","345.00","344.10","341.80","354.60","84.90","1,45,56,212","4,97,52,61,233.00","1,29,407"
"26-Feb-2021","EQ","343.00","349.65","334.75","350.70","340.95","340.25","341.79","354.60","84.90","2,03,79,210","6,96,53,10,195.55","1,59,341"
"25-Feb-2021","EQ","337.60","354.60","337.00","332.80","350.00","350.70","346.94","354.60","84.90","3,59,67,464","12,47,84,53,874.15","2,40,253"
"24-Feb-2021","EQ","334.20","337.50","328.00","333.05","333.00","332.80","333.95","338.15","84.90","1,47,77,374","4,93,49,24,982.20","1,17,562"
"23-Feb-2021","EQ","321.95","338.15","316.65","316.10","334.20","333.05","329.02","338.15","84.90","5,06,77,230","16,67,37,36,714.15","3,29,561"
"22-Feb-2021","EQ","310.00","328.00","310.00","308.00","314.60","316.10","320.99","328.00","84.90","4,59,75,603","14,75,76,77,876.65","3,17,856"
"19-Feb-2021","EQ","308.00","313.35","302.25","309.90","309.00","308.00","307.04","313.35","84.90","1,74,10,357","5,34,56,95,150.80","96,804"
"18-Feb-2021","EQ","306.05","312.60","305.00","303.90","309.60","309.90","309.31","312.60","84.90","1,62,02,053","5,01,14,34,700.50","1,33,048"
"17-Feb-2021","EQ","302.70","308.50","301.00","302.70","304.10","303.90","304.57","308.50","84.90","1,82,21,106","5,54,96,79,463.65","1,29,930"
"16-Feb-2021","EQ","293.55","307.35","293.00","291.40","302.00","302.70","302.90","307.35","84.90","2,75,19,511","8,33,56,41,658.45","2,17,537"
"15-Feb-2021","EQ","292.50","296.05","289.00","290.80","291.10","291.40","292.56","297.35","84.90","80,41,775","2,35,27,41,176.50","71,677"
"12-Feb-2021","EQ","297.00","297.25","286.50","295.40","291.00","290.80","291.69","297.35","84.90","1,54,54,237","4,50,78,20,225.80","93,994"
"11-Feb-2021","EQ","280.80","297.35","279.85","279.40","294.80","295.40","290.91","297.35","84.90","4,73,56,292","13,77,62,36,101.50","2,87,892"
