"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2020","EQ","239.25","249.10","238.65","235.00","245.80","246.45","243.75","314.00","201.75","1,15,80,274","2,82,26,66,426.60","69,735"
"03-Mar-2020","EQ","239.25","249.10","238.65","235.00","245.80","246.45","243.75","314.00","201.75","1,15,80,274","2,82,26,66,426.60","69,735"
"03-Mar-2020","EQ","239.25","249.10","238.65","235.00","245.80","246.45","243.75","314.00","201.75","1,15,80,274","2,82,26,66,426.60","69,735"
"03-Mar-2020","EQ","239.25","249.10","238.65","235.00","245.80","246.45","243.75","314.00","201.75","1,15,80,274","2,82,26,66,426.60","69,735"
"03-Mar-2020","EQ","239.25","249.10","238.65","235.00","245.80","246.45","243.75","314.00","201.75","1,15,80,274","2,82,26,66,426.60","69,735"
"02-Mar-2020","EQ","242.20","246.50","230.85","235.70","234.55","235.00","241.63","314.00","201.75","1,08,65,535","2,62,54,73,695.65","79,748"
"28-Feb-2020","EQ","245.50","245.50","232.65","252.10","233.50","235.70","238.22","314.00","201.75","1,07,23,581","2,55,45,73,711.35","82,183"
"27-Feb-2020","EQ","259.00","259.00","248.30","260.80","252.90","252.10","253.47","314.00","201.75","1,02,58,174","2,60,01,65,936.60","87,528"
"26-Feb-2020","EQ","256.00","263.70","255.55","262.60","259.40","260.80","259.72","314.00","201.75","81,11,249","2,10,66,82,610.25","57,706"
"25-Feb-2020","EQ","264.00","266.80","258.40","258.95","263.10","262.60","262.73","314.00","201.75","99,28,181","2,60,83,88,230.35","66,720"
"24-Feb-2020","EQ","277.95","277.95","256.00","281.80","261.10","258.95","266.56","314.00","201.75","1,05,65,578","2,81,63,09,544.05","64,178"
"20-Feb-2020","EQ","280.70","285.85","277.00","280.85","281.80","281.80","281.62","314.00","201.75","69,60,354","1,96,01,52,363.15","43,280"
"19-Feb-2020","EQ","287.20","290.00","279.90","284.80","280.80","280.85","285.37","314.00","201.75","49,52,306","1,41,32,49,340.10","28,936"
"19-Feb-2020","EQ","287.20","290.00","279.90","284.80","280.80","280.85","285.37","314.00","201.75","49,52,306","1,41,32,49,340.10","28,936"
"19-Feb-2020","EQ","287.20","290.00","279.90","284.80","280.80","280.85","285.37","314.00","201.75","49,52,306","1,41,32,49,340.10","28,936"
"19-Feb-2020","EQ","287.20","290.00","279.90","284.80","280.80","280.85","285.37","314.00","201.75","49,52,306","1,41,32,49,340.10","28,936"
"19-Feb-2020","EQ","287.20","290.00","279.90","284.80","280.80","280.85","285.37","314.00","201.75","49,52,306","1,41,32,49,340.10","28,936"
"18-Feb-2020","EQ","289.00","289.15","281.10","288.15","285.00","284.80","284.43","314.00","201.75","54,63,097","1,55,38,91,472.85","35,213"
"18-Feb-2020","EQ","289.00","289.15","281.10","288.15","285.00","284.80","284.43","314.00","201.75","54,63,097","1,55,38,91,472.85","35,213"
"17-Feb-2020","EQ","289.15","290.90","285.30","289.15","288.00","288.15","288.29","314.00","201.75","60,84,235","1,75,40,50,013.90","36,285"
"14-Feb-2020","EQ","291.60","296.75","288.30","293.35","288.50","289.15","292.79","314.00","201.75","60,86,218","1,78,20,11,376.00","39,261"
"13-Feb-2020","EQ","292.20","294.60","288.40","293.70","291.60","293.35","292.09","314.00","201.75","62,20,243","1,81,68,90,898.95","40,577"
"12-Feb-2020","EQ","288.65","295.40","288.50","288.75","293.70","293.70","292.87","314.00","201.75","91,19,052","2,67,06,57,508.60","55,371"
"11-Feb-2020","EQ","280.05","293.50","278.60","277.90","288.65","288.75","288.32","314.00","201.75","1,09,58,494","3,15,95,06,652.20","72,217"
"10-Feb-2020","EQ","276.00","279.80","273.20","279.30","277.95","277.90","276.69","314.00","201.75","49,72,983","1,37,59,54,725.70","32,384"
"07-Feb-2020","EQ","275.40","280.00","272.75","276.45","279.00","279.30","277.76","314.00","201.75","52,58,442","1,46,05,94,758.90","31,277"
"06-Feb-2020","EQ","271.10","277.50","267.75","269.25","275.35","276.45","274.21","314.00","201.75","85,67,243","2,34,92,60,666.75","54,010"
"05-Feb-2020","EQ","259.50","271.65","256.35","258.35","271.15","269.25","262.69","314.00","201.75","72,18,905","1,89,63,12,134.10","45,905"
"04-Feb-2020","EQ","253.25","259.70","248.70","251.50","257.85","258.35","256.07","314.00","201.75","58,39,343","1,49,52,80,385.60","41,556"
"03-Feb-2020","EQ","245.50","253.00","243.75","244.75","252.30","251.50","248.60","314.00","201.75","70,21,154","1,74,54,24,950.70","45,678"
"01-Feb-2020","EQ","249.00","257.30","242.60","250.70","245.25","244.75","250.54","314.00","201.75","74,85,230","1,87,53,66,831.45","46,957"
"31-Jan-2020","EQ","258.15","259.00","249.10","256.95","250.50","250.70","254.04","314.00","201.75","63,29,214","1,60,78,95,887.60","48,505"
"30-Jan-2020","EQ","261.30","262.10","255.25","261.25","257.30","256.95","258.63","314.00","201.75","55,11,254","1,42,53,70,158.70","43,330"
"29-Jan-2020","EQ","259.00","264.60","258.30","255.25","261.25","261.25","262.06","314.00","201.75","78,32,991","2,05,27,37,700.90","50,428"
"28-Jan-2020","EQ","260.80","261.75","251.60","262.80","255.30","255.25","256.69","314.00","201.75","1,11,68,567","2,86,68,23,248.75","69,713"
"27-Jan-2020","EQ","265.45","265.90","258.30","271.90","260.35","262.80","261.97","314.00","201.75","1,71,51,836","4,49,31,83,376.40","91,461"
"24-Jan-2020","EQ","266.70","273.90","265.30","266.65","271.25","271.90","270.87","314.00","201.75","59,91,335","1,62,28,52,644.60","46,243"
"23-Jan-2020","EQ","266.00","268.95","264.10","265.85","266.20","266.65","266.77","314.00","201.75","35,29,142","94,14,52,105.60","24,104"
