"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2022","EQ","1,306.00","1,328.65","1,293.65","1,289.35","1,303.00","1,303.30","1,309.97","1,534.50","681.25","1,74,50,338","22,85,94,07,692.45","5,28,049"
"02-Mar-2022","EQ","1,220.75","1,299.60","1,218.55","1,220.75","1,288.75","1,289.35","1,280.64","1,534.50","681.25","2,48,47,532","31,82,06,91,227.60","6,12,717"
"28-Feb-2022","EQ","1,134.00","1,225.00","1,129.20","1,145.35","1,217.90","1,220.75","1,196.83","1,534.50","681.25","1,76,05,446","21,07,07,73,518.25","4,08,543"
"25-Feb-2022","EQ","1,097.70","1,150.70","1,095.60","1,074.00","1,144.95","1,145.35","1,136.16","1,534.50","670.85","92,12,886","10,46,73,47,648.45","2,26,899"
"24-Feb-2022","EQ","1,094.00","1,119.95","1,067.10","1,139.00","1,079.00","1,074.00","1,095.75","1,534.50","670.85","1,21,26,867","13,28,80,73,810.50","3,24,643"
"23-Feb-2022","EQ","1,148.00","1,152.60","1,134.00","1,138.70","1,137.90","1,139.00","1,143.60","1,534.50","670.85","49,60,838","5,67,32,17,190.30","1,29,498"
"22-Feb-2022","EQ","1,158.00","1,166.65","1,119.25","1,181.85","1,134.00","1,138.70","1,141.03","1,534.50","670.85","93,85,857","10,70,95,65,886.60","2,22,627"
"21-Feb-2022","EQ","1,188.00","1,202.00","1,174.40","1,190.80","1,181.00","1,181.85","1,188.32","1,534.50","670.85","49,78,732","5,91,63,28,122.20","1,17,333"
"18-Feb-2022","EQ","1,187.00","1,205.00","1,183.00","1,190.95","1,191.00","1,190.80","1,196.74","1,534.50","655.95","47,25,120","5,65,47,46,883.90","1,19,821"
"17-Feb-2022","EQ","1,201.10","1,209.50","1,186.15","1,191.80","1,190.00","1,190.95","1,197.29","1,534.50","655.95","56,55,792","6,77,16,43,720.60","1,17,118"
"16-Feb-2022","EQ","1,215.00","1,217.90","1,186.50","1,207.75","1,187.95","1,191.80","1,199.11","1,534.50","655.95","66,09,214","7,92,51,41,990.10","1,71,088"
"15-Feb-2022","EQ","1,196.85","1,212.00","1,151.55","1,186.85","1,204.95","1,207.75","1,179.18","1,534.50","655.95","1,01,88,921","12,01,45,82,504.45","2,38,309"
"14-Feb-2022","EQ","1,220.10","1,227.75","1,180.10","1,254.45","1,183.25","1,186.85","1,202.85","1,534.50","655.95","80,21,613","9,64,88,20,655.15","2,11,234"
"11-Feb-2022","EQ","1,239.00","1,264.95","1,233.10","1,248.35","1,251.80","1,254.45","1,252.44","1,534.50","655.95","96,76,226","12,11,88,83,254.80","2,11,755"
"10-Feb-2022","EQ","1,230.00","1,254.25","1,226.00","1,222.35","1,247.30","1,248.35","1,244.12","1,534.50","655.95","93,92,057","11,68,48,09,977.10","2,22,188"
