"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Mar-2020","EQ","224.00","225.80","220.60","220.80","223.25","223.70","223.10","374.65","218.40","51,73,113","1,15,41,03,726.05","41,834"
"03-Mar-2020","EQ","224.00","225.80","220.60","220.80","223.25","223.70","223.10","374.65","218.40","51,73,113","1,15,41,03,726.05","41,834"
"03-Mar-2020","EQ","224.00","225.80","220.60","220.80","223.25","223.70","223.10","374.65","218.40","51,73,113","1,15,41,03,726.05","41,834"
"03-Mar-2020","EQ","224.00","225.80","220.60","220.80","223.25","223.70","223.10","374.65","218.40","51,73,113","1,15,41,03,726.05","41,834"
"03-Mar-2020","EQ","224.00","225.80","220.60","220.80","223.25","223.70","223.10","374.65","218.40","51,73,113","1,15,41,03,726.05","41,834"
"03-Mar-2020","EQ","224.00","225.80","220.60","220.80","223.25","223.70","223.10","374.65","218.40","51,73,113","1,15,41,03,726.05","41,834"
"02-Mar-2020","EQ","225.80","227.00","218.40","221.45","220.65","220.80","223.58","374.65","218.40","57,66,175","1,28,91,95,929.00","65,848"
"28-Feb-2020","EQ","228.50","229.50","219.70","231.60","222.40","221.45","223.36","388.95","219.70","56,37,309","1,25,91,75,651.25","75,674"
"27-Feb-2020","EQ","238.95","238.95","230.50","239.90","231.45","231.60","233.24","388.95","230.50","48,66,814","1,13,51,30,613.30","63,615"
"26-Feb-2020","EQ","243.05","243.45","238.40","244.10","239.95","239.90","239.99","388.95","232.20","39,94,194","95,85,62,328.10","35,163"
"25-Feb-2020","EQ","244.15","246.65","242.45","244.20","244.00","244.10","244.35","388.95","232.20","25,29,786","61,81,42,911.85","23,406"
"24-Feb-2020","EQ","245.00","247.80","242.40","245.70","244.05","244.20","245.45","388.95","232.20","35,21,975","86,44,71,815.85","38,370"
"24-Feb-2020","EQ","245.00","247.80","242.40","245.70","244.05","244.20","245.45","388.95","232.20","35,21,975","86,44,71,815.85","38,370"
"20-Feb-2020","EQ","248.00","248.55","245.10","247.60","245.85","245.70","246.71","388.95","232.20","21,20,807","52,32,34,630.90","24,362"
"19-Feb-2020","EQ","244.50","248.35","244.50","244.05","247.95","247.60","246.89","388.95","232.20","17,85,384","44,07,89,981.60","24,285"
"19-Feb-2020","EQ","244.50","248.35","244.50","244.05","247.95","247.60","246.89","388.95","232.20","17,85,384","44,07,89,981.60","24,285"
"19-Feb-2020","EQ","244.50","248.35","244.50","244.05","247.95","247.60","246.89","388.95","232.20","17,85,384","44,07,89,981.60","24,285"
"19-Feb-2020","EQ","244.50","248.35","244.50","244.05","247.95","247.60","246.89","388.95","232.20","17,85,384","44,07,89,981.60","24,285"
